property_id,NARv[P]_time,Planet_time
1,51.03641915,1113.824769
2,297.6906934,809.2536838
3,2560.228001,2100.367455
4,496.6530881,843.8910732
5,47.57099175,898.7929287
6,1679.057198,1508.960378
7,352.8992596,844.9097161
8,623.191978,1078.780492
9,377.6697321,1287.423753
10,212.7752612,819.6860857
11,835.513155,643.4272604
12,266.3837075,936.459193
13,235.7035568,830.3795681
14,492.2276149,2612.696551
15,1232.726797,1442.167607
16,666.6411726,2734.795641
17,698.1844878,1935.346829
18,731.141654,979.8332913
19,49.14527822,748.0751629
20,610.6127834,862.6436341
21,365.1326501,709.2498693
22,644.4400325,1012.873922
23,159.8013349,816.994261
24,891.5363514,3254.530605
25,61.89988947,1063.895066
