property_id,NARv[M]_time,Marabou_time
1,219.67874,14384.31736
2,188.17288,17879.59961
3,36000,36000
4,209.50707,36000
5,225.38291,36000
6,281.83623,10160.41989
7,5024.08044,11764.0037
8,200.48391,36000
9,194.87309,36000
10,36000,36000
11,36000,36000
12,36000,36000
