property_id,NARv[M]_time,Marabou_time
1,411.41874,36000
2,322.20885,36000
3,36000,36000
4,315.81084,36000
5,317.05717,36000
6,403.64632,36000
7,36000,36000
8,327.22393,36000
9,313.66708,36000
10,36000,36000
11,36000,36000
12,36000,36000
