property_id,NARv[M]_time,Marabou_time
1,28186.25716,36000
2,36000,36000
3,36000,36000
4,285.10181,31234.17763
5,36000,36000
6,8611.3536,12358.97214
7,11959.76078,12166.67355
8,36000,36000
9,28016.29041,36000
10,36000,36000
11,36000,36000
12,36000,36000
