property_id,NARv[M]_time,Marabou_time
1,232.8972974,474.73748
2,76.62816572,10.99126
3,190.2368107,75.40392
4,98.89414001,11.56065
5,116.4237347,44.49759
6,176.3287823,12.34476
7,168.2507682,17.97947
8,122.8636067,91.1538
9,79.70592999,29.32797
10,11.7335887,11.74098
11,22.99248624,11.33145
12,67.67948318,3.26112
13,113.891248,11.53379
14,98.5171771,11.30067
15,19.5128901,11.45852
16,20.61928082,11.4398
17,90.18442845,11.10096
18,74.7991209,34.9194
19,73.62564564,149.32496
20,142.9157093,12.44397
21,109.3183074,11.85833
22,190.3930871,19.97774
23,13.77349973,11.41314
24,15.74932504,11.37152
25,160.6421859,406.14261
