property_id,NARv[P]_time,Planet_time
1,240.56049,832.13332
2,81.69075,155.37448
3,235.03629,794.21218
4,104.48505,147.82624
5,141.19352,555.29457
6,197.96352,389.82934
7,187.70628,290.97851
8,209.04251,726.23685
9,110.84671,571.2405
10,13.34388,122.29165
11,17.70765,119.64947
12,62.12405,119.57348
13,127.48611,127.33831
14,116.24375,134.79155
15,18.60705,162.99762
16,15.69867,158.24565
17,91.45645,267.53769
18,91.47884,474.14917
19,134.91647,804.28546
20,192.23138,322.72226
21,104.69354,129.62089
22,209.79246,667.51876
23,15.23108,147.73852
24,14.69889,143.23998
25,238.58108,794.93441
