property_id,NARv[M]_time,Marabou_time
1,168.28161,241.67113
2,168.10131,266.02015
3,185.04184,154.58999
4,176.17907,132.72523
5,186.72625,2368.87144
6,198.70455,174.92028
7,170.52051,285.74565
8,178.70197,1895.46423
9,187.4296,407.53864
10,3608.45646,5225.74972
11,216.90227,426.74954
12,206.53307,697.00422
