property_id,NARv[P]_time,Planet_time
1,185.4439,5678.18451
2,4246.06652,7573.52163
3,4070.14874,7500.09842
4,179.15528,9318.65696
5,4119.10635,8036.16323
6,2081.93539,4686.38872
7,170.82479,4760.27381
8,6077.68817,11778.55055
9,3849.0692,9003.86342
10,23186.10742,8305.18572
11,4305.1113,9422.34651
12,9840.2551,17740.42041
