property_id,NARv[M]_time,Marabou_time
1,478.16652,36000
2,386.07383,36000
3,36000,36000
4,400.38029,36000
5,355.59826,36000
6,489.79385,36000
7,36000,36000
8,376.63162,36000
9,413.83441,36000
10,36000,36000
11,36000,36000
12,36000,36000
