property_id,NARv[P]_time,Planet_time
1,426.1176615,1129.75017
2,152.2546644,1126.777249
3,806.0604239,1205.43275
4,143.6056933,311.7857442
5,221.2229953,757.9752688
6,362.6198425,6630.554797
7,277.8069394,1470.262798
8,365.3583336,1917.853071
9,165.903157,1048.425433
10,112.675993,240.1260834
11,16.12060833,128.104553
12,125.6066751,253.9034688
13,215.5648856,844.4333086
14,182.2211127,582.8585544
15,357.0115488,645.0213685
16,152.2044187,159.8424869
17,150.9087298,693.054317
18,383.7784193,1006.913945
19,167.5581453,968.8877091
20,379.512393,1998.354498
21,214.8328567,964.0168529
22,351.9263928,3835.930726
23,112.810581,147.1280832
24,192.4978826,139.3824525
25,452.5413494,1351.390077
