property_id,NARv[M]_time,Marabou_time
1,596.7735102,36000
2,112.2439511,208.0423954
3,2308.153919,36000
4,115.1257515,19.70418906
5,383.9275343,2702.790919
6,424.4889681,4373.553373
7,315.9889286,3049.804715
8,277.0690148,17232.46894
9,285.6185231,2876.686388
10,116.8592663,12.58781171
11,16.65489602,12.31508589
12,107.4969146,12.39696622
13,231.4285071,1086.725691
14,139.9099267,17.3345778
15,251.993197,18.35383153
16,146.0721138,19.8366456
17,105.0800488,50.65138698
18,14815.99912,31346.45909
19,112.4719648,3212.594422
20,412.9871469,2386.380253
21,257.1982934,87.2785027
22,1672.205125,375.0952847
23,84.57160425,10.78106689
24,136.1939068,12.92376757
25,866.2227461,36000
