property_id,NARv[P]_time,Planet_time
1,561.12465,36000
2,36000,36000
3,36000,36000
4,720.52135,36000
5,36000,36000
6,36000,36000
7,36000,36000
8,386.12441,36000
9,36000,36000
10,36000,36000
11,36000,36000
12,36000,36000
