network_id,property_id,abstract_time,total_time,size
1_1,0,0,0.944332361,310
1_1,1,0,0.966966867,310
1_1,2,0,1.151116371,310
1_1,3,1.829482079,2.04770422,121
1_1,4,0,1.022493362,310
1_1,5,0,0.900686264,310
1_1,6,0,1.084707737,310
1_1,7,3.184228182,17.65992022,215
1_1,8,0,0.834649563,310
1_1,9,0,1.006533623,310
1_1,10,2.412036419,3.980240583,168
1_1,11,0,0.993592024,310
1_1,12,0,1.152662039,310
1_1,13,0,1.014845848,310
1_1,14,0,0.935404778,310
1_1,15,0,0.858588457,310
1_1,16,0,0.805281639,310
1_1,17,0,0.784065485,310
1_1,18,0,0.794096231,310
1_1,19,1.80129981,2.433798313,149
network_id,property_id,abstract_time,total_time,size
1_2,0,1.874433279,2.006498337,105
1_2,1,0,1.111969233,310
1_2,2,0,1.258407831,310
1_2,3,1.886193275,2.484494925,157
1_2,4,0,1.331749439,310
1_2,5,1.966516256,3.220171928,149
1_2,6,0,1.530189991,310
1_2,7,1.828550577,5.384531975,161
1_2,8,0,1.134865999,310
1_2,9,1.781160831,2.926108837,134
1_2,10,2.364323139,7.307483196,189
1_2,11,0,1.167827368,310
1_2,12,1.785683632,2.529379845,123
1_2,13,1.782714128,1.855087042,94
1_2,14,0,1.383891821,310
1_2,15,0,1.188948631,310
1_2,16,1.61964488,1.773457766,104
1_2,17,0,1.066956997,310
1_2,18,0,1.11967063,310
1_2,19,0,1.345492363,310
network_id,property_id,abstract_time,total_time,size
1_3,0,2.451654434,2.643964291,132
1_3,1,0,1.314052105,310
1_3,2,0,1.257245302,310
1_3,3,2.511968374,2.781603336,138
1_3,4,0,1.219954252,310
1_3,5,2.238627672,3.015153646,142
1_3,6,0,1.135182619,310
1_3,7,3.863509655,18.48361754,217
1_3,8,2.365004301,2.515646458,137
1_3,9,0,1.299964666,310
1_3,10,2.222703934,23.48998141,199
1_3,11,0,1.617883921,310
1_3,12,2.145265341,4.604124308,190
1_3,13,0,1.274501324,310
1_3,14,0,1.492474794,310
1_3,15,0,1.246631861,310
1_3,16,2.971091986,5.288203955,151
1_3,17,0,1.224766016,310
1_3,18,2.104456425,2.647613764,141
1_3,19,2.041626215,3.924162626,188
network_id,property_id,abstract_time,total_time,size
1_4,0,0,1.426254034,310
1_4,1,2.333052158,2.67868638,139
1_4,2,0,1.713859797,310
1_4,3,3.004165649,22.38038659,206
1_4,4,0,1.598536253,310
1_4,5,2.374025822,2.615899086,122
1_4,6,0,1.279366732,310
1_4,7,2.173247099,4.7652812,183
1_4,8,2.627370358,4.724649429,156
1_4,9,2.899791002,3.460578203,150
1_4,10,2.292407274,28.28485799,191
1_4,11,0,1.259660721,310
1_4,12,2.234662056,2.395147085,123
1_4,13,0,1.522590876,310
1_4,14,0,1.511990786,310
1_4,15,0,1.488241911,310
1_4,16,2.52555418,2.873194456,134
1_4,17,2.479964733,3.829676628,163
1_4,18,-,3600,-
1_4,19,0,1.221267223,310
network_id,property_id,abstract_time,total_time,size
1_5,0,0,1.060472488,310
1_5,1,0,0.996735096,310
1_5,2,0,1.015745878,310
1_5,3,1.848978519,11.87782812,196
1_5,4,0,1.203248739,310
1_5,5,2.045065403,2.270627975,125
