network_id,property_id,abstract_time,total_time,size
1_1,0,53.16368914,71.04666328,710
1_1,1,52.55442429,881.6349845,910
1_1,2,47.49174857,48.5692997,710
1_1,3,47.11675668,919.6890333,910
1_1,4,47.99995351,49.10858369,710
1_1,5,53.13911581,886.4583476,910
1_1,6,49.44374537,868.3449903,910
1_1,7,47.24446177,63.68527985,710
1_1,8,47.20262361,63.77265692,710
1_1,9,48.51497364,49.64083147,710
1_1,10,53.37863207,54.67324567,710
1_1,11,52.98609352,866.6852427,910
1_1,12,48.18469501,866.8846505,910
1_1,13,47.48083186,48.5826745,710
1_1,14,47.25356817,830.6972222,910
1_1,15,53.22398996,71.24185133,710
1_1,16,52.05278826,53.2170701,710
1_1,17,51.05389428,68.3166821,710
1_1,18,52.25925636,883.3779898,910
1_1,19,47.61635327,858.3930306,910
network_id,property_id,abstract_time,total_time,size
1_2,0,46.91295099,48.01370001,710
1_2,1,49.25676799,65.78314662,710
1_2,2,47.96999907,49.12808418,710
1_2,3,47.20630383,48.28742003,710
1_2,4,48.11560273,49.22250462,710
1_2,5,47.67077112,64.17887402,710
1_2,6,47.86626577,64.42597651,710
1_2,7,48.71033311,2216.281731,909
1_2,8,45.27680373,847.8089604,910
1_2,9,46.49216747,47.59759712,710
1_2,10,44.61805081,3500.282874,910
1_2,11,46.13752317,827.0298934,910
1_2,12,45.10631585,961.9259009,910
1_2,13,47.07464409,848.3418715,910
1_2,14,44.80945396,835.0384068,910
1_2,15,47.31504297,48.45853519,710
1_2,16,47.89290547,48.96601701,710
1_2,17,48.74140358,880.6213448,910
1_2,18,46.0134809,47.07997727,710
1_2,19,44.93901372,857.3393621,910
network_id,property_id,abstract_time,total_time,size
1_3,0,46.99191666,894.0369766,910
1_3,1,45.70458531,844.7374322,908
1_3,2,48.71856809,863.0069964,910
1_3,3,-,3600,-
1_3,4,46.55267024,932.1662836,910
1_3,5,48.22996545,861.1427794,908
1_3,6,46.51281452,838.2804034,907
1_3,7,46.12152958,3463.96092,906
1_3,8,44.45949197,833.3905849,910
1_3,9,45.30011249,929.3798208,910
1_3,10,46.83453894,1915.570332,909
1_3,11,45.55854583,885.8382726,909
1_3,12,45.42676258,1068.013312,910
1_3,13,45.81642222,1211.137024,910
1_3,14,45.41240478,818.5035582,910
1_3,15,47.71191621,876.4978774,910
1_3,16,45.73992729,1020.157668,907
1_3,17,46.91423869,1011.092461,907
1_3,18,45.89743161,1818.709159,908
1_3,19,45.23207831,1474.413446,908
network_id,property_id,abstract_time,total_time,size
1_4,0,46.01087189,47.08486223,710
1_4,1,46.32693982,1203.741798,910
1_4,2,42.80101061,43.90721178,710
1_4,3,42.76421595,43.83346891,710
1_4,4,43.39793372,59.12555194,710
1_4,5,45.39694285,46.47898793,710
1_4,6,44.76627159,816.0863769,908
1_4,7,44.76222801,45.85465646,710
1_4,8,45.67896366,46.74258614,710
1_4,9,44.56008172,988.8231454,910
1_4,10,-,3600,-
1_4,11,45.15692997,46.25348544,710
1_4,12,45.18213892,61.24382401,710
1_4,13,45.72796679,46.81290054,710
1_4,14,46.30445194,62.47703385,710
1_4,15,46.3433156,62.70156455,710
1_4,16,46.38509846,47.47777867,710
1_4,17,47.13574028,2232.505302,909
1_4,18,45.53238177,46.6598196,710
1_4,19,45.02824593,60.97994423,710
network_id,property_id,abstract_time,total_time,size
1_5,0,43.83573627,44.90827966,710
1_5,1,43.71166325,44.78133988,710
1_5,2,43.78259873,44.88845205,710
1_5,3,44.84940648,2545.837497,910
1_5,4,45.73706937,845.7953176,910
1_5,5,45.34135056,46.43119073,710
1_5,6,44.68368864,60.90589333,710
1_5,7,46.75720406,47.91188765,710
1_5,8,45.30814743,46.42223048,710
1_5,9,46.51565361,866.8902402,910
1_5,10,45.20418835,3573.819337,910
1_5,11,43.32616544,44.4094286,710
1_5,12,43.2328217,44.32003427,710
1_5,13,43.34563541,44.42029381,710
1_5,14,44.75892663,45.8471756,710
1_5,15,43.98671222,45.06092358,710
1_5,16,43.84081602,44.94941878,710
1_5,17,44.09597635,45.18146372,710
1_5,18,43.99022102,45.06543469,710
1_5,19,45.27621555,46.35772705,710
network_id,property_id,abstract_time,total_time,size
1_6,0,47.84325147,64.43986654,710
1_6,1,45.00734091,46.08285451,710
