network_id,property_id,abstract_time,total_time,size
1_1,0,16.60259059,1820.201676,910
1_1,1,17.66261907,1853.80549,910
1_1,2,12.73033539,909.5868648,873
1_1,3,13.43857058,1875.541652,897
1_1,4,11.89754857,1408.333131,808
1_1,5,14.78892447,1542.18488,910
1_1,6,17.20538722,1546.17341,910
1_1,7,11.85023895,46.70873813,745
1_1,8,11.25613366,676.4045321,903
1_1,9,20.05684613,1377.091873,901
1_1,10,16.69432491,603.8254121,910
1_1,11,17.66696921,1588.671865,910
1_1,12,11.13461126,1556.355903,892
1_1,13,15.48692461,1903.146859,910
1_1,14,20.1190105,1728.44237,910
1_1,15,9.9419304,984.1357655,910
1_1,16,17.25316803,1698.761986,870
1_1,17,20.28763194,1006.221041,888
1_1,18,18.02901818,1295.609102,910
1_1,19,19.6016011,1296.658969,910
network_id,property_id,abstract_time,total_time,size
1_2,0,14.6223837,1812.526928,910
1_2,1,14.68230638,840.3989387,910
1_2,2,14.58969574,1855.118975,910
1_2,3,13.5162076,1290.944169,832
1_2,4,16.28775476,1168.330654,910
1_2,5,14.42042304,720.0855963,801
1_2,6,16.65147535,542.7796255,885
1_2,7,-,3600,-
1_2,8,17.07651413,1598.102743,910
1_2,9,17.47792288,1214.79468,841
1_2,10,-,3600,-
1_2,11,18.54168866,1556.619362,707
1_2,12,15.58434817,1662.698483,910
1_2,13,17.50955491,1360.54391,910
1_2,14,12.94946772,1667.123667,890
1_2,15,12.01770945,30.89084868,798
1_2,16,15.84563635,23.763899,770
1_2,17,9.133693787,1878.472182,770
1_2,18,14.47629264,28.764594,779
1_2,19,15.30983779,1391.588219,844
network_id,property_id,abstract_time,total_time,size
1_3,0,16.39947073,1839.086365,910
1_3,1,16.43588944,1713.683032,910
1_3,2,19.34033044,1519.21835,910
1_3,3,-,3600,-
1_3,4,17.60595518,1994.310901,764
1_3,5,15.03666845,1538.905927,906
1_3,6,17.86901902,1675.533532,883
1_3,7,-,3600,-
1_3,8,16.29769374,1526.284694,910
1_3,9,13.74044814,2079.359795,860
1_3,10,-,3600,-
1_3,11,19.8970084,2054.369961,906
1_3,12,12.6785719,2376.003643,854
1_3,13,21.19202856,2576.904815,910
1_3,14,16.88324287,1699.986732,910
1_3,15,14.22404101,1310.695325,839
1_3,16,17.40627949,1780.404628,910
1_3,17,19.0565631,1797.645784,910
1_3,18,14.63313607,3185.956665,910
1_3,19,14.82897992,2807.053283,875
network_id,property_id,abstract_time,total_time,size
1_4,0,19.14664432,1386.264554,910
1_4,1,18.53969085,2539.130497,910
1_4,2,14.80658717,1856.003269,910
1_4,3,14.97263804,1846.034639,910
1_4,4,17.08159594,1189.82662,906
1_4,5,15.80167758,1165.76688,910
1_4,6,13.20133742,1717.609499,771
1_4,7,15.19296736,1293.112364,910
1_4,8,19.05788746,641.8844957,867
1_4,9,18.409221,2101.716258,905
1_4,10,-,3600,-
1_4,11,15.53087783,1164.490672,910
1_4,12,19.82575019,691.3100606,867
1_4,13,15.70276262,20.51378102,736
1_4,14,16.2544054,837.6387493,884
1_4,15,18.54300034,1019.633378,910
1_4,16,14.4275474,964.1006686,855
1_4,17,-,3600,-
1_4,18,11.27679436,829.0030234,910
1_4,19,16.46695596,695.2578484,910
network_id,property_id,abstract_time,total_time,size
1_5,0,16.40291712,553.6681431,910
1_5,1,10.44224888,1284.199039,910
1_5,2,16.2062162,1739.610536,822
1_5,3,-,3600,-
1_5,4,18.03285963,1379.054854,910
1_5,5,17.62510003,576.3808478,908
1_5,6,15.83492089,739.0461975,885
1_5,7,13.99867314,1637.84267,910
1_5,8,15.71794353,1766.864064,908
1_5,9,11.98772135,1724.431541,910
1_5,10,-,3600,-
1_5,11,18.36676362,1836.468152,910
1_5,12,13.68121319,1373.030128,910
1_5,13,15.34618137,1725.740329,910
1_5,14,18.49653693,1504.412561,910
1_5,15,15.14406176,1804.255878,820
1_5,16,19.20020584,1834.745377,910
1_5,17,15.22708566,15.58054714,800
1_5,18,15.7756252,1806.014797,910
1_5,19,10.34395398,701.3116751,910
network_id,property_id,abstract_time,total_time,size
1_6,0,15.53310088,70.78358168,728
1_6,1,13.61920217,21.06978854,758
1_6,2,11.02086128,1471.339836,910
1_6,3,14.30358497,1165.574539,910
1_6,4,12.12132962,1729.017669,815
1_6,5,9.287236376,1246.321048,910
1_6,6,13.38012316,1631.039126,853
1_6,7,13.57543785,49.62118744,723
