property_id,NARv[P]_time,Planet_time
1,286.54296,19703.04163
2,266.62615,36000
3,36000,36000
4,223.46248,36000
5,221.71076,36000
6,283.75164,36000
7,6445.15994,36000
8,256.51286,36000
9,200.49314,36000
10,36000,36000
11,36000,36000
12,36000,36000
