property_id,NARv[M]_time,Marabou_time
1,284.01642,1998.51432
2,267.04706,5960.89282
3,2822.31153,18095.07209
4,225.64395,8890.22737
5,213.53576,7300.03404
6,277.33837,3836.47547
7,964.03592,3582.87441
8,261.97443,5131.96555
9,210.70332,15585.15568
10,2809.74048,12169.8237
11,6573.53536,6982.56047
12,4070.09139,16357.41657
