property_id,NARv[P]_time,Planet_time
1,336.22412,36000
2,36000,36000
3,36000,36000
4,522.69054,36000
5,36000,36000
6,19767.02398,30129.45958
7,14992.63199,23064.57689
8,36000,36000
9,32238.02196,36000
10,36000,36000
11,36000,36000
12,22413.15092,36000
