property_id,NARv[M]_time,Marabou_time
1,236.23561,1634.54642
2,2131.12441,4904.88544
3,366.65121,4568.90418
4,190.50628,2217.28745
5,5053.90596,36000
6,413.25057,433.1349
7,705.60567,3456.90789
8,2916.60611,6070.79001
9,208.0212,4294.6805
10,4353.12314,5320.3671
11,2829.5156,3456.90789
12,207.1529,10300.66869
