property_id,NARv[M]_time,Marabou_time
1,48.65995955,8675.210596
2,324.7285953,36000
3,1120.595978,65.48890662
4,271.9916003,36000
5,2104.24336,36000
6,931.8317058,35394.51586
7,-,-
8,419.4823151,36000
9,228.7809427,1574.879861
10,298.344059,12.59163022
11,161.4984684,58.93311286
12,141.889905,4812.484737
13,331.3744788,106.1796706
14,234.2902367,1045.35738
15,9148.869359,125.3512723
16,215.2430964,419.0999072
17,237.792727,36000
18,18847.03471,24397.66755
19,40.78261662,36000
20,6032.764985,8620.01153
21,1711.218612,36000
22,4697.111231,16.31706977
23,63.89188218,198.213582
24,347.5815279,36000
25,11033.21255,36000
