network_id,property_id,abstract_time,total_time,size
1_1,0,18.6614431,1610.632574,910
1_1,1,18.60124968,1640.617727,876
1_1,2,17.7632744,1746.376167,826
1_1,3,15.24218324,1573.439548,910
1_1,4,15.29312299,1673.567991,910
1_1,5,15.19373381,1118.135266,910
1_1,6,15.98690228,1483.019408,910
1_1,7,18.80937972,1817.275699,843
1_1,8,13.10714792,1589.942269,742
1_1,9,16.68051208,1930.785993,910
1_1,10,21.31629234,552.1935051,832
1_1,11,16.3562349,1947.518016,910
1_1,12,14.65627064,19.88599999,675
1_1,13,14.54360035,793.7721811,910
1_1,14,14.56403402,526.1753282,888
1_1,15,16.64924513,1334.263938,898
1_1,16,13.29786894,23.09601445,789
1_1,17,17.56983303,975.5117844,910
1_1,18,12.83209327,1599.762086,910
1_1,19,20.40121829,591.3260949,890
network_id,property_id,abstract_time,total_time,size
1_2,0,17.14847318,1901.215967,900
1_2,1,19.19775068,908.2547801,875
1_2,2,17.32210894,1978.542254,889
1_2,3,20.1631909,2074.673982,910
1_2,4,14.13585169,22.08921364,788
1_2,5,19.09687135,613.5937662,910
1_2,6,15.14370615,1446.055313,684
1_2,7,16.36678956,522.6907935,910
1_2,8,15.43426844,1087.30003,811
1_2,9,16.49277592,1738.206733,910
1_2,10,16.4064175,1300.125089,844
1_2,11,18.67637634,578.4307071,910
1_2,12,23.69963386,607.1221344,910
1_2,13,17.19164549,22.69119034,782
1_2,14,12.23077505,1275.965378,881
1_2,15,20.13313717,1587.553245,788
1_2,16,8.328228496,884.3191426,859
1_2,17,14.43224225,908.1073466,910
1_2,18,13.21658027,57.32794741,749
1_2,19,12.21725456,1664.833675,849
network_id,property_id,abstract_time,total_time,size
1_3,0,13.53079943,37.66038485,673
1_3,1,11.86631871,961.9136125,809
1_3,2,14.47493512,1531.668345,910
1_3,3,18.79365567,1658.735711,910
1_3,4,13.64657966,1828.163482,783
1_3,5,16.5507924,1500.393285,910
1_3,6,18.53643385,1333.903722,910
1_3,7,8.738433613,1604.409575,880
1_3,8,13.24115553,1408.288701,910
1_3,9,17.81317578,1402.781314,910
1_3,10,11.84702774,1802.238967,875
1_3,11,12.40264063,1871.697181,627
1_3,12,15.39542271,1373.830963,910
1_3,13,20.34546376,1818.591683,806
1_3,14,12.2274559,1717.890441,910
