network_id,property_id,abstract_time,total_time,size
1_1,0,52.27334738,1902.524875,910
1_1,1,49.73889971,995.9900398,910
1_1,2,48.09376764,64.97451639,710
1_1,3,48.31264615,850.905292,910
1_1,4,48.22095156,3357.916686,910
1_1,5,-,3600,-
1_1,6,0,2.713027954,910
1_1,7,48.81716228,1107.572762,910
1_1,8,48.34983587,951.2098818,910
1_1,9,49.24885559,1127.254163,910
1_1,10,51.42529416,875.1746142,910
1_1,11,48.15487266,65.00390458,710
1_1,12,47.17815304,1634.208066,910
1_1,13,48.0896132,1013.207758,910
1_1,14,48.67729187,2335.447679,910
1_1,15,52.46301436,2927.750506,910
1_1,16,-,3600,-
1_1,17,49.29745126,911.6326799,910
1_1,18,49.33425546,66.18823934,710
1_1,19,47.39132476,1051.990489,910
network_id,property_id,abstract_time,total_time,size
1_2,0,51.77439785,69.22998405,710
1_2,1,48.1944294,49.27280283,710
1_2,2,-,3600,-
1_2,3,48.66433358,2721.67243,910
1_2,4,-,3600,-
1_2,5,-,3600,-
1_2,6,0,2.85513258,910
1_2,7,48.8326869,65.61164308,710
1_2,8,49.52202916,66.24086976,710
1_2,9,47.46753359,64.95856762,710
1_2,10,48.74395037,1799.864423,909
1_2,11,-,3600,-
1_2,12,-,3600,-
1_2,13,50.08284998,954.6503947,909
1_2,14,49.73902988,67.67317891,710
1_2,15,49.64308596,2831.221655,909
1_2,16,-,3600,-
1_2,17,48.29919648,1289.047518,910
1_2,18,51.71460795,2391.534488,910
1_2,19,48.40835929,1389.815968,910
network_id,property_id,abstract_time,total_time,size
1_3,0,-,3600,-
1_3,1,-,3600,-
1_3,2,-,3600,-
1_3,3,47.52511406,1251.738478,907
1_3,4,48.11827445,1082.975322,910
1_3,5,-,3600,-
1_3,6,-,3600,-
1_3,7,-,3600,-
1_3,8,47.59428906,2180.911379,910
1_3,9,48.13456082,2661.552743,909
1_3,10,49.78070569,872.3691764,910
1_3,11,-,3600,-
1_3,12,-,3600,-
1_3,13,45.90029931,1840.10467,908
1_3,14,-,3600,-
1_3,15,-,3600,-
1_3,16,-,3600,-
1_3,17,47.58188915,824.1475096,906
1_3,18,-,3600,-
1_3,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_4,0,-,3600,-
1_4,1,-,3600,-
1_4,2,-,3600,-
1_4,3,46.89426732,63.49992037,710
1_4,4,45.81352711,62.17386866,710
1_4,5,-,3600,-
1_4,6,0,2.423267841,910
1_4,7,45.5314393,62.10602236,710
1_4,8,46.02308631,62.84389687,710
1_4,9,45.0315764,61.52804923,710
1_4,10,48.86932683,3318.241677,909
1_4,11,48.01827621,65.1460371,710
1_4,12,-,3600,-
1_4,13,46.58028984,63.63122702,710
1_4,14,-,3600,-
1_4,15,-,3600,-
1_4,16,-,3600,-
1_4,17,44.44891095,60.63387871,710
1_4,18,-,3600,-
1_4,19,43.91492295,59.85966659,710
network_id,property_id,abstract_time,total_time,size
1_5,0,-,3600,-
1_5,1,45.78784943,61.97477341,710
1_5,2,-,3600,-
1_5,3,46.20520782,47.2680397,710
1_5,4,45.74104118,46.83222604,710
1_5,5,-,3600,-
1_5,6,-,3600,-
1_5,7,46.81191039,63.861691,710
1_5,8,48.07519007,49.15330672,710
1_5,9,46.91170573,48.00982833,710
1_5,10,-,3600,-
1_5,11,46.49082184,64.37703514,710
1_5,12,-,3600,-
1_5,13,46.9191432,63.42084169,710
1_5,14,-,3600,-
1_5,15,43.9820962,60.08410692,710
1_5,16,-,3600,-
1_5,17,44.04423022,60.32272983,710
1_5,18,-,3600,-
1_5,19,45.34302258,46.38165021,710
network_id,property_id,abstract_time,total_time,size
1_6,0,-,3600,-
1_6,1,-,3600,-
1_6,2,-,3600,-
1_6,3,46.93899536,48.01456022,710
1_6,4,45.77870846,46.83666015,710
1_6,5,46.60488749,2761.307027,910
1_6,6,0,2.577897072,910
1_6,7,48.18840456,65.03760958,710
1_6,8,48.53010154,65.76947379,710
1_6,9,47.25167871,1634.431754,910
1_6,10,46.47729254,1637.228406,910
1_6,11,45.0639205,61.31891179,710
1_6,12,44.43110752,2377.166113,909
1_6,13,46.24512172,2088.483711,910
1_6,14,-,3600,-
1_6,15,45.69396448,62.0848856,710
1_6,16,-,3600,-
1_6,17,46.33747554,893.1785307,910
1_6,18,-,3600,-
1_6,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_7,0,0,2.404768229,910
1_7,1,0,2.449831486,910
1_7,2,0,2.45861125,910
1_7,3,0,2.42454195,910
1_7,4,0,2.484547138,910
1_7,5,0,2.353178024,910
1_7,6,0,2.378947496,910
1_7,7,0,2.373944521,910
1_7,8,0,2.392564535,910
1_7,9,0,2.342575788,910
1_7,10,0,2.467772961,910
1_7,11,0,2.39226675,910
1_7,12,0,2.399957895,910
1_7,13,0,2.430682659,910
1_7,14,0,2.435815811,910
1_7,15,0,2.389599085,910
1_7,16,0,2.370029688,910
1_7,17,0,2.352283239,910
1_7,18,0,2.348431349,910
1_7,19,0,2.395039558,910
network_id,property_id,abstract_time,total_time,size
1_8,0,-,3600,-
1_8,1,45.79410696,1574.268947,910
1_8,2,-,3600,-
1_8,3,-,3600,-
1_8,4,-,3600,-
1_8,5,-,3600,-
1_8,6,-,3600,-
1_8,7,-,3600,-
1_8,8,44.93677354,61.12782884,710
1_8,9,-,3600,-
1_8,10,-,3600,-
1_8,11,-,3600,-
1_8,12,-,3600,-
1_8,13,45.12165999,842.288348,910
1_8,14,-,3600,-
1_8,15,-,3600,-
1_8,16,-,3600,-
1_8,17,43.5640111,59.24736404,710
1_8,18,43.30675697,59.34518743,710
1_8,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_9,0,-,3600,-
1_9,1,-,3600,-
1_9,2,-,3600,-
1_9,3,-,3600,-
1_9,4,-,3600,-
1_9,5,-,3600,-
1_9,6,-,3600,-
1_9,7,-,3600,-
1_9,8,-,3600,-
1_9,9,-,3600,-
1_9,10,41.92486191,2413.529039,910
1_9,11,-,3600,-
1_9,12,43.93182135,2922.15136,910
1_9,13,41.63660574,3096.768913,910
1_9,14,41.42638183,3583.918102,908
1_9,15,-,3600,-
1_9,16,-,3600,-
1_9,17,43.92956233,822.7766414,910
1_9,18,-,3600,-
1_9,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_1,0,-,3600,-
2_1,1,43.93248963,819.635942,910
2_1,2,43.60870552,3342.671278,910
2_1,3,42.54843044,1429.957497,910
2_1,4,-,3600,-
2_1,5,43.70488429,2135.128934,910
2_1,6,41.79364872,59.21959281,710
2_1,7,-,3600,-
2_1,8,-,3600,-
2_1,9,-,3600,-
2_1,10,41.03623223,799.066468,910
2_1,11,-,3600,-
2_1,12,41.1809566,2210.758728,910
2_1,13,42.90487933,1912.929283,910
2_1,14,42.38546419,769.7784169,910
2_1,15,-,3600,-
2_1,16,-,3600,-
2_1,17,42.72021723,950.4612904,910
2_1,18,-,3600,-
2_1,19,40.41815782,779.3486321,910
network_id,property_id,abstract_time,total_time,size
2_2,0,-,3600,-
2_2,1,-,3600,-
2_2,2,-,3600,-
2_2,3,43.08793163,3049.394084,910
2_2,4,-,3600,-
2_2,5,-,3600,-
2_2,6,0,2.283921957,910
2_2,7,-,3600,-
2_2,8,44.90216351,1156.782759,910
2_2,9,-,3600,-
2_2,10,43.80819058,2455.699001,910
2_2,11,-,3600,-
2_2,12,-,3600,-
2_2,13,-,3600,-
2_2,14,-,3600,-
2_2,15,-,3600,-
2_2,16,-,3600,-
2_2,17,41.02179432,874.3937526,910
2_2,18,-,3600,-
2_2,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_3,0,-,3600,-
2_3,1,-,3600,-
2_3,2,-,3600,-
2_3,3,-,3600,-
2_3,4,-,3600,-
2_3,5,-,3600,-
2_3,6,41.87248015,62.01102328,710
2_3,7,-,3600,-
2_3,8,41.06082654,1353.207653,910
2_3,9,-,3600,-
2_3,10,-,3600,-
2_3,11,-,3600,-
2_3,12,-,3600,-
2_3,13,-,3600,-
2_3,14,42.52671099,1447.732093,908
2_3,15,-,3600,-
2_3,16,-,3600,-
2_3,17,42.55726123,878.3338041,907
2_3,18,-,3600,-
2_3,19,40.76426578,2563.026647,909
network_id,property_id,abstract_time,total_time,size
2_4,0,-,3600,-
2_4,1,42.07582951,934.2839572,910
2_4,2,-,3600,-
2_4,3,42.36332512,1589.778036,910
2_4,4,-,3600,-
2_4,5,41.60336661,2481.663231,909
2_4,6,41.54172277,1247.375822,910
2_4,7,-,3600,-
2_4,8,43.29447317,3103.253043,910
2_4,9,-,3600,-
2_4,10,41.70626044,1129.369086,909
2_4,11,-,3600,-
2_4,12,39.79782605,889.7721405,910
2_4,13,-,3600,-
2_4,14,42.98535943,1554.514747,910
2_4,15,-,3600,-
2_4,16,-,3600,-
2_4,17,42.9058888,1192.331845,910
2_4,18,-,3600,-
2_4,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_5,0,-,3600,-
2_5,1,-,3600,-
2_5,2,-,3600,-
2_5,3,42.81708431,887.2507033,907
2_5,4,-,3600,-
2_5,5,41.53437972,1445.927928,905
2_5,6,0,2.217214346,910
2_5,7,-,3600,-
2_5,8,-,3600,-
2_5,9,-,3600,-
2_5,10,42.68334222,1717.150153,910
2_5,11,-,3600,-
2_5,12,-,3600,-
2_5,13,-,3600,-
2_5,14,-,3600,-
2_5,15,-,3600,-
2_5,16,-,3600,-
2_5,17,-,3600,-
2_5,18,-,3600,-
2_5,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_6,0,-,3600,-
2_6,1,-,3600,-
2_6,2,-,3600,-
2_6,3,42.69486284,1759.43772,910
2_6,4,-,3600,-
2_6,5,-,3600,-
2_6,6,0,2.194892645,910
2_6,7,-,3600,-
2_6,8,-,3600,-
2_6,9,-,3600,-
2_6,10,40.85344315,1676.888593,910
2_6,11,-,3600,-
2_6,12,-,3600,-
2_6,13,-,3600,-
2_6,14,-,3600,-
2_6,15,-,3600,-
2_6,16,-,3600,-
2_6,17,41.31112862,1055.460697,909
2_6,18,-,3600,-
2_6,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_7,0,-,3600,-
2_7,1,-,3600,-
2_7,2,-,3600,-
2_7,3,39.91850519,1007.750897,910
2_7,4,-,3600,-
2_7,5,42.82998347,3233.28673,909
2_7,6,-,3600,-
2_7,7,-,3600,-
2_7,8,-,3600,-
2_7,9,-,3600,-
2_7,10,-,3600,-
2_7,11,-,3600,-
2_7,12,-,3600,-
2_7,13,-,3600,-
2_7,14,-,3600,-
2_7,15,-,3600,-
2_7,16,-,3600,-
2_7,17,42.59456229,1774.653413,910
2_7,18,-,3600,-
2_7,19,40.8237803,1307.864197,910
network_id,property_id,abstract_time,total_time,size
2_8,0,-,3600,-
2_8,1,43.44097281,2926.991054,910
2_8,2,-,3600,-
2_8,3,43.46532774,819.6098046,910
2_8,4,-,3600,-
2_8,5,-,3600,-
2_8,6,0,2.418348551,910
2_8,7,-,3600,-
2_8,8,41.54535198,1163.274612,910
2_8,9,41.78831172,2055.018382,910
2_8,10,42.8971653,2138.555723,905
2_8,11,-,3600,-
2_8,12,-,3600,-
2_8,13,42.14893651,2198.668882,906
2_8,14,-,3600,-
2_8,15,-,3600,-
2_8,16,-,3600,-
2_8,17,42.93441534,1015.538462,910
2_8,18,-,3600,-
2_8,19,43.4949708,978.4019892,901
network_id,property_id,abstract_time,total_time,size
2_9,0,-,3600,-
2_9,1,-,3600,-
2_9,2,-,3600,-
2_9,3,43.3954916,2168.766816,910
2_9,4,-,3600,-
2_9,5,-,3600,-
2_9,6,-,3600,-
2_9,7,-,3600,-
2_9,8,42.15002346,1113.914226,910
