network_id,property_id,abstract_time,total_time,size
1_1,0,-,3600,-
1_1,1,17.70751943,2159.783312,889
1_1,2,13.81545874,55.17743221,718
1_1,3,17.79161064,1328.427734,910
1_1,4,-,3600,-
1_1,5,-,3600,-
1_1,6,12.63920773,14.94344949,694
1_1,7,15.98590143,2150.212725,780
1_1,8,14.48311828,1822.190533,862
1_1,9,12.00587071,2098.742152,910
1_1,10,18.32469692,1156.79761,759
1_1,11,18.10348151,1042.458458,804
1_1,12,12.81826475,2943.153786,910
1_1,13,15.26373818,1866.017899,877
1_1,14,-,3600,-
1_1,15,-,3600,-
1_1,16,-,3600,-
1_1,17,16.26061916,1709.010539,910
1_1,18,14.16675654,556.6838524,893
1_1,19,14.51604587,2012.503761,910
network_id,property_id,abstract_time,total_time,size
1_2,0,19.4661403,974.1832068,837
1_2,1,15.15485496,1539.349057,910
1_2,2,-,3600,-
1_2,3,-,3600,-
1_2,4,-,3600,-
1_2,5,-,3600,-
1_2,6,19.76006534,22.93129286,910
1_2,7,14.10351812,697.5946345,910
1_2,8,14.98028812,792.4445798,910
1_2,9,17.29187997,45.05584882,799
1_2,10,-,3600,-
1_2,11,-,3600,-
1_2,12,-,3600,-
1_2,13,21.92710899,1663.516354,843
1_2,14,16.07901231,850.272784,893
1_2,15,-,3600,-
1_2,16,-,3600,-
1_2,17,8.938406698,2298.68977,910
1_2,18,-,3600,-
1_2,19,15.20734664,2758.793602,910
network_id,property_id,abstract_time,total_time,size
1_3,0,-,3600,-
1_3,1,-,3600,-
1_3,2,-,3600,-
1_3,3,16.57593257,2249.745732,805
1_3,4,18.98304588,2496.591352,881
1_3,5,-,3600,-
1_3,6,-,3600,-
1_3,7,-,3600,-
1_3,8,-,3600,-
1_3,9,-,3600,-
1_3,10,11.23128509,1782.762376,910
1_3,11,-,3600,-
1_3,12,-,3600,-
1_3,13,-,3600,-
1_3,14,-,3600,-
1_3,15,-,3600,-
1_3,16,-,3600,-
1_3,17,12.71224072,1617.601374,795
1_3,18,-,3600,-
1_3,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_4,0,-,3600,-
1_4,1,-,3600,-
1_4,2,-,3600,-
1_4,3,15.77478583,53.31068185,771
1_4,4,12.91715609,973.7744639,885
1_4,5,-,3600,-
1_4,6,13.47330365,16.48709018,910
1_4,7,17.56029453,647.6500911,838
1_4,8,15.02785116,599.768482,862
1_4,9,17.03526164,1038.635341,806
1_4,10,-,3600,-
1_4,11,13.61186368,41.51752886,647
1_4,12,-,3600,-
1_4,13,14.5556884,50.1683727,767
1_4,14,-,3600,-
1_4,15,-,3600,-
1_4,16,-,3600,-
1_4,17,15.07278375,54.8926617,785
1_4,18,-,3600,-
1_4,19,15.77247609,34.07967386,784
network_id,property_id,abstract_time,total_time,size
1_5,0,-,3600,-
1_5,1,12.60717253,800.8153491,865
1_5,2,-,3600,-
1_5,3,13.06982973,1388.001857,910
1_5,4,16.53955819,25.67552458,774
1_5,5,-,3600,-
1_5,6,-,3600,-
1_5,7,16.58747098,906.4171052,847
1_5,8,21.34435336,22.92553369,635
1_5,9,13.05750118,24.63388689,759
1_5,10,-,3600,-
1_5,11,12.55433258,620.6918316,910
1_5,12,-,3600,-
1_5,13,12.84799692,1542.156573,882
1_5,14,-,3600,-
1_5,15,18.62564643,935.0616882,910
1_5,16,-,3600,-
1_5,17,22.61611038,1113.626015,910
1_5,18,-,3600,-
1_5,19,12.1335238,992.6713375,910
network_id,property_id,abstract_time,total_time,size
1_6,0,-,3600,-
1_6,1,-,3600,-
1_6,2,-,3600,-
1_6,3,18.08983969,28.337655,797
1_6,4,22.30090133,569.4760978,899
1_6,5,-,3600,-
1_6,6,24.18409036,26.37980137,830
1_6,7,18.14996489,547.519163,864
1_6,8,14.41882348,846.4161707,910
1_6,9,17.50885468,2850.208816,813
1_6,10,-,3600,-
1_6,11,20.97949463,752.6816249,895
1_6,12,-,3600,-
1_6,13,-,3600,-
1_6,14,-,3600,-
1_6,15,17.19675506,822.1299902,910
1_6,16,-,3600,-
1_6,17,17.07094545,1702.644293,765
1_6,18,-,3600,-
1_6,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_7,0,19.47722413,21.78766617,72
1_7,1,17.23951477,20.38111248,72
1_7,2,14.70595482,17.28210808,72
1_7,3,17.2786836,19.10275372,72
1_7,4,11.76411961,13.61042403,72
1_7,5,11.68567178,13.69176127,72
1_7,6,19.26968781,21.39482614,72
1_7,7,18.84258863,21.11243616,72
1_7,8,13.86861735,15.10131517,72
1_7,9,13.8267095,15.86884778,72
1_7,10,19.25111001,21.90050428,72
1_7,11,14.0150648,16.59199102,72
1_7,12,19.9342247,22.20838148,72
1_7,13,11.16620018,12.27063224,72
1_7,14,16.9714548,20.13003128,72
1_7,15,17.91816621,20.2805129,72
1_7,16,18.73154943,21.02084374,72
1_7,17,12.58628367,14.64047405,72
1_7,18,13.65278827,16.4475519,72
1_7,19,15.33832629,17.40078794,72
network_id,property_id,abstract_time,total_time,size
1_8,0,-,3600,-
1_8,1,-,3600,-
1_8,2,-,3600,-
1_8,3,-,3600,-
1_8,4,-,3600,-
1_8,5,-,3600,-
1_8,6,-,3600,-
1_8,7,-,3600,-
1_8,8,15.56216469,686.2461914,910
1_8,9,-,3600,-
1_8,10,-,3600,-
1_8,11,-,3600,-
1_8,12,-,3600,-
1_8,13,13.5393256,1759.3164,910
1_8,14,-,3600,-
1_8,15,-,3600,-
1_8,16,-,3600,-
1_8,17,13.35907138,741.8264666,910
1_8,18,18.25633604,52.77676531,743
1_8,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_9,0,-,3600,-
1_9,1,-,3600,-
1_9,2,-,3600,-
1_9,3,-,3600,-
1_9,4,-,3600,-
1_9,5,-,3600,-
1_9,6,-,3600,-
1_9,7,-,3600,-
1_9,8,-,3600,-
1_9,9,-,3600,-
1_9,10,-,3600,-
1_9,11,-,3600,-
1_9,12,-,3600,-
1_9,13,-,3600,-
1_9,14,-,3600,-
1_9,15,-,3600,-
1_9,16,-,3600,-
1_9,17,15.96219009,1733.958076,813
1_9,18,-,3600,-
1_9,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_1,0,-,3600,-
2_1,1,17.46101734,1492.98253,910
2_1,2,-,3600,-
2_1,3,16.79088044,1865.123665,778
2_1,4,-,3600,-
2_1,5,-,3600,-
2_1,6,14.40867379,46.3712826,890
2_1,7,-,3600,-
2_1,8,-,3600,-
2_1,9,-,3600,-
2_1,10,12.20876782,1640.566491,907
2_1,11,-,3600,-
2_1,12,12.05875514,3374.21041,899
2_1,13,13.58718567,2961.357195,910
2_1,14,10.93642743,1127.082617,910
2_1,15,-,3600,-
2_1,16,-,3600,-
2_1,17,19.09636087,2139.548402,910
2_1,18,-,3600,-
2_1,19,12.7789722,1409.402629,871
network_id,property_id,abstract_time,total_time,size
2_2,0,-,3600,-
2_2,1,-,3600,-
2_2,2,-,3600,-
2_2,3,-,3600,-
2_2,4,-,3600,-
2_2,5,-,3600,-
2_2,6,10.7983305,13.29065497,72
2_2,7,-,3600,-
2_2,8,21.31823345,1816.418444,749
2_2,9,-,3600,-
2_2,10,-,3600,-
2_2,11,-,3600,-
2_2,12,-,3600,-
2_2,13,-,3600,-
2_2,14,-,3600,-
2_2,15,-,3600,-
2_2,16,-,3600,-
2_2,17,17.66084268,1584.658089,891
2_2,18,-,3600,-
2_2,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_3,0,-,3600,-
2_3,1,-,3600,-
2_3,2,-,3600,-
2_3,3,-,3600,-
2_3,4,-,3600,-
2_3,5,-,3600,-
2_3,6,18.52237074,60.45356363,807
2_3,7,-,3600,-
2_3,8,15.05282593,3060.317599,851
2_3,9,-,3600,-
2_3,10,-,3600,-
2_3,11,-,3600,-
2_3,12,-,3600,-
2_3,13,-,3600,-
2_3,14,18.12250786,2694.910487,752
2_3,15,-,3600,-
2_3,16,-,3600,-
2_3,17,17.55399707,1727.353322,892
2_3,18,-,3600,-
2_3,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_4,0,-,3600,-
2_4,1,16.00242792,1847.739212,910
2_4,2,-,3600,-
2_4,3,-,3600,-
2_4,4,-,3600,-
2_4,5,-,3600,-
2_4,6,18.16188432,2309.342535,902
2_4,7,-,3600,-
2_4,8,-,3600,-
2_4,9,-,3600,-
2_4,10,13.54321098,2335.496275,862
2_4,11,-,3600,-
2_4,12,10.83631357,1752.805331,818
2_4,13,-,3600,-
2_4,14,17.24788995,2808.852469,900
2_4,15,-,3600,-
2_4,16,-,3600,-
2_4,17,11.38052189,2095.106655,842
2_4,18,-,3600,-
2_4,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_5,0,-,3600,-
2_5,1,-,3600,-
2_5,2,-,3600,-
2_5,3,15.52445339,1490.959171,910
2_5,4,-,3600,-
2_5,5,20.5374734,2891.407295,910
2_5,6,10.74491095,12.10997082,72
2_5,7,-,3600,-
2_5,8,-,3600,-
2_5,9,-,3600,-
2_5,10,13.76414552,3444.756152,910
2_5,11,-,3600,-
2_5,12,-,3600,-
2_5,13,-,3600,-
2_5,14,-,3600,-
2_5,15,-,3600,-
2_5,16,-,3600,-
2_5,17,-,3600,-
2_5,18,-,3600,-
2_5,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_6,0,-,3600,-
2_6,1,-,3600,-
2_6,2,-,3600,-
2_6,3,13.87866862,3542.226316,816
2_6,4,-,3600,-
2_6,5,-,3600,-
2_6,6,14.84331185,17.05805208,650
2_6,7,-,3600,-
2_6,8,-,3600,-
2_6,9,-,3600,-
2_6,10,13.61725262,3099.915898,827
2_6,11,-,3600,-
2_6,12,-,3600,-
2_6,13,-,3600,-
2_6,14,-,3600,-
2_6,15,-,3600,-
2_6,16,-,3600,-
2_6,17,12.59123678,2229.907025,910
2_6,18,-,3600,-
2_6,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
2_7,0,-,3600,-
2_7,1,-,3600,-
2_7,2,-,3600,-
2_7,3,15.80882567,2014.959078,859
2_7,4,-,3600,-
2_7,5,-,3600,-
2_7,6,-,3600,-
2_7,7,-,3600,-
2_7,8,-,3600,-
2_7,9,-,3600,-
2_7,10,-,3600,-
2_7,11,-,3600,-
2_7,12,-,3600,-
2_7,13,-,3600,-
2_7,14,-,3600,-
2_7,15,-,3600,-
2_7,16,-,3600,-
2_7,17,-,3600,-
2_7,18,-,3600,-
2_7,19,19.4895499,2399.081031,886
network_id,property_id,abstract_time,total_time,size
2_8,0,-,3600,-
2_8,1,-,3600,-
2_8,2,-,3600,-
2_8,3,15.19192456,1753.499547,910
2_8,4,-,3600,-
2_8,5,-,3600,-
2_8,6,19.27298803,21.07840745,72
2_8,7,-,3600,-
2_8,8,15.91027864,2185.696916,898
2_8,9,-,3600,-
2_8,10,-,3600,-
2_8,11,-,3600,-
2_8,12,-,3600,-
2_8,13,-,3600,-
2_8,14,-,3600,-
2_8,15,-,3600,-
2_8,16,-,3600,-
2_8,17,14.2189411,2053.001714,910
2_8,18,-,3600,-
2_8,19,15.34603718,2265.87159,861
network_id,property_id,abstract_time,total_time,size
2_9,0,-,3600,-
2_9,1,-,3600,-
2_9,2,-,3600,-
2_9,3,-,3600,-
2_9,4,-,3600,-
2_9,5,-,3600,-
2_9,6,-,3600,-
2_9,7,-,3600,-
2_9,8,14.43407533,1993.923725,910
2_9,9,-,3600,-
2_9,10,15.4955629,2457.274637,753
2_9,11,-,3600,-
2_9,12,-,3600,-
2_9,13,12.77750371,1892.357232,845
2_9,14,20.52187437,2628.484949,910
2_9,15,-,3600,-
2_9,16,-,3600,-
2_9,17,22.47393459,2924.960758,903
2_9,18,-,3600,-
2_9,19,16.69585939,2295.482969,866
network_id,property_id,abstract_time,total_time,size
3_1,0,-,3600,-
3_1,1,11.83283503,1696.812472,868
3_1,2,-,3600,-
3_1,3,22.10927136,1909.296961,910
3_1,4,-,3600,-
3_1,5,13.71363573,1997.214755,910
3_1,6,-,3600,-
3_1,7,-,3600,-
3_1,8,-,3600,-
3_1,9,13.63888728,1595.715787,835
3_1,10,-,3600,-
3_1,11,-,3600,-
3_1,12,-,3600,-
3_1,13,-,3600,-
3_1,14,14.84090439,2232.901086,910
3_1,15,-,3600,-
3_1,16,-,3600,-
3_1,17,18.95740652,1586.841015,910
3_1,18,-,3600,-
3_1,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
3_2,0,-,3600,-
3_2,1,14.34534407,2336.557092,786
3_2,2,-,3600,-
3_2,3,10.27390565,2547.188264,910
3_2,4,-,3600,-
3_2,5,-,3600,-
3_2,6,-,3600,-
3_2,7,-,3600,-
3_2,8,20.11513681,1829.631608,779
3_2,9,-,3600,-
3_2,10,-,3600,-
3_2,11,-,3600,-
3_2,12,-,3600,-
3_2,13,9.483840128,1495.581878,791
3_2,14,-,3600,-
3_2,15,-,3600,-
3_2,16,-,3600,-
3_2,17,12.04226506,2067.325458,774
3_2,18,-,3600,-
3_2,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
3_3,0,-,3600,-
3_3,1,-,3600,-
3_3,2,-,3600,-
3_3,3,17.13221247,1327.904548,707
3_3,4,-,3600,-
3_3,5,18.29585988,3034.353848,910
3_3,6,-,3600,-
3_3,7,-,3600,-
3_3,8,13.88031045,1811.265367,727
3_3,9,14.50096312,2994.696393,872
3_3,10,-,3600,-
3_3,11,-,3600,-
3_3,12,18.19035037,2887.364834,891
3_3,13,15.77804382,2067.169313,910
3_3,14,17.80946786,2363.886772,727
3_3,15,-,3600,-
3_3,16,-,3600,-
3_3,17,13.43550689,1310.865941,909
3_3,18,-,3600,-
3_3,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
3_4,0,12.81666731,1896.130375,750
3_4,1,-,3600,-
3_4,2,-,3600,-
3_4,3,-,3600,-
3_4,4,-,3600,-
3_4,5,-,3600,-
3_4,6,15.98904738,18.22820001,72
3_4,7,-,3600,-
3_4,8,-,3600,-
3_4,9,-,3600,-
3_4,10,-,3600,-
3_4,11,-,3600,-
3_4,12,-,3600,-
3_4,13,-,3600,-
3_4,14,-,3600,-
3_4,15,-,3600,-
3_4,16,-,3600,-
3_4,17,-,3600,-
3_4,18,-,3600,-
3_4,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
3_5,0,-,3600,-
3_5,1,-,3600,-
3_5,2,-,3600,-
3_5,3,15.38793079,2913.934167,813
3_5,4,15.69058545,3265.112204,880
3_5,5,-,3600,-
3_5,6,10.46989681,47.4181077,882
3_5,7,-,3600,-
3_5,8,-,3600,-
3_5,9,19.51165659,1624.742802,910
