network_id,property_id,abstract_time,total_time,size
1_1,0,2.450770378,18.40777326,210
1_1,1,2.0293293,2.877039433,183
1_1,2,2.29625845,88.58159399,207
1_1,3,1.48927784,1.601902485,92
1_1,4,3.849432707,33.16529346,211
1_1,5,3.226908207,31.05737185,208
1_1,6,0,1.969288111,436
1_1,7,2.573115826,6.429545879,182
1_1,8,0,0.843765259,310
1_1,9,2.377095938,2.806359529,156
1_1,10,1.401489019,1.502598524,96
1_1,11,3.002783775,50.43639326,211
1_1,12,5.580705166,14.9349618,195
1_1,13,1.763210773,1.920984745,131
1_1,14,1.899209499,20.89960551,188
1_1,15,3.093014956,36.36213875,209
1_1,16,2.873283148,81.52745152,205
1_1,17,1.255839825,1.318734646,85
1_1,18,3.876231909,130.4884741,227
1_1,19,1.625727654,2.0814991,119
network_id,property_id,abstract_time,total_time,size
1_2,0,3.002313137,27.23069167,221
1_2,1,2.662784815,13.38107228,199
1_2,2,2.678383112,137.7867427,206
1_2,3,1.71491766,2.255222082,159
1_2,4,2.773918867,111.7566597,226
1_2,5,3.950579882,108.3152878,222
1_2,6,2.286924124,166.4346464,233
1_2,7,2.1902318,37.54445338,216
1_2,8,-,3600,-
1_2,9,1.626542807,1.935139894,151
1_2,10,2.316779852,4.293365955,178
1_2,11,3.946594954,355.2474051,219
1_2,12,2.584447145,52.16543722,216
1_2,13,1.703211069,2.093547106,125
1_2,14,1.74501133,3.93012166,131
1_2,15,2.161910772,9.508350134,191
1_2,16,2.590957165,77.70460153,223
1_2,17,1.635746956,1.67162323,112
1_2,18,4.246097565,11.0297873,215
1_2,19,2.043874025,2.338076591,121
network_id,property_id,abstract_time,total_time,size
1_3,0,3.253070593,161.8795092,241
1_3,1,2.694259882,39.63832784,239
1_3,2,3.194689512,267.9453962,239
1_3,3,1.882819176,3.295287132,131
1_3,4,2.396074533,5.378025293,197
1_3,5,2.472950459,155.3215637,227
1_3,6,4.514637947,399.120549,220
1_3,7,2.799271584,86.69965863,225
1_3,8,2.047971487,6.151071787,156
1_3,9,2.00815773,3.563390255,174
1_3,10,2.044201374,2.223481894,135
1_3,11,2.86873436,150.3787057,240
1_3,12,2.389843702,18.24378824,214
